#gene	sample1	sample2	sample3	sample7	sample8	sample9
CD1D	342	277	330	198	301	675
CD1A	1349	1367	2131	912	659	1156
CD1C	188	78	117	96	48	72
CD1B	870	1436	1048	1089	1591	1080
CD1E	847	1272	1090	788	1899	1213
OR10T2	1827	2033	1294	1271	613	834
OR10K2	263	199	295	586	153	195
OR10K1	649	506	890	710	751	654
OR10R2	1450	1258	900	2149	637	614
OR6Y1	1639	1553	2152	1710	1609	974
OR6P1	1597	925	799	1059	927	612
OR10Z1	3486	1988	4769	3510	3632	1437
SPTA1	1558	1732	1703	1584	3231	1611
OR6K2	1102	1583	1708	1166	714	1430
OR6K3	5253	5022	6714	2536	3459	2163
OR6K6	7902	3421	3726	8613	8181	4170
OR6N1	441	45	359	203	388	206
OR6N2	5380	8545	2486	4304	2266	4609
MNDA	4577	6426	6176	6352	3786	2914
PYHIN1	1035	2396	1780	2628	1002	1429
IFI16	2354	3770	5463	3553	3733	2647
AIM2	7055	9379	8501	6234	2737	3728
CADM3	4487	2367	2898	2347	4387	4764
ACKR1	2228	945	1476	1097	1037	2032
FCER1A	227	106	408	384	276	337
OR10J3	5021	12042	9799	3212	8298	8208
OR10J1	429	242	367	847	356	86
OR10J5	11488	24493	28714	12964	20139	10470
APCS	700	646	693	428	621	483
CRP	3415	3062	3052	3444	2382	2586
DUSP23	6005	6593	4182	4622	10808	7765
FCRL6	10106	7220	4830	8143	7218	4269
SLAMF8	21452	13838	20901	13736	9791	11478
C1orf204	1500	1612	722	634	1717	784
VSIG8	200	302	254	381	302	165
RP11-190A12.7	5231	12048	10094	7715	10051	7714
CFAP45	2846	2777	3506	1259	831	3259
TAGLN2	0	0	0	0	0	1
IGSF9	4550	6356	8038	5069	6414	7152
SLAMF9	4578	4256	6171	3639	2454	2081
KCNJ10	2938	2781	1751	1100	2411	2166
PIGM	1004	944	1993	1231	469	1322
KCNJ9	3634	4058	3025	5987	6623	6792
IGSF8	1127	1169	1012	860	1015	801
ATP1A2	9378	6627	9779	8180	4448	7996
ATP1A4	412	466	643	184	229	272
CASQ1	1189	771	876	943	755	1903
PEA15	1254	1014	1147	826	923	913
DCAF8	743	512	725	408	211	435
RP11-574F21.3	6164	8091	4375	4522	7520	5738
PEX19	683	680	1002	445	359	375
COPA	1703	561	773	537	367	589
NCSTN	2189	2278	2060	1115	2047	1519
NHLH1	4413	10729	3388	3732	3242	2202
VANGL2	7249	10678	7821	6463	5093	5595
SLAMF6	7033	5914	10660	5210	2889	4835
CD84	214	375	180	216	658	295
SLAMF1	2766	1085	1975	2565	1465	501
CD48	1694	1507	1919	755	303	1825
SLAMF7	1570	2230	1851	2088	726	1495
LY9	1799	756	1365	2790	1694	823
CD244	605	372	1127	484	752	806
ITLN1	3263	2471	2829	1425	1012	715
ITLN2	1867	1258	950	395	1548	1357
F11R	149	141	139	103	78	184
RP11-544M22.13	4486	7339	11121	2961	4186	1409
TSTD1	6013	6706	7170	5957	4219	8495
USF1	4783	7889	2781	2049	3496	2189
ARHGAP30	495	708	238	596	436	452
AL591806.1	32	13	26	21	6	22
NECTIN4	633	963	1156	406	669	704
KLHDC9	535	1705	1271	648	1026	1511
PFDN2	17014	16868	19189	17947	7547	15995
NIT1	799	3836	2367	1844	1910	1184
DEDD	4505	5702	7310	4204	7635	4833
UFC1	1994	2374	2350	3433	3204	2333
USP21	6583	2548	3966	3016	2092	5876
PPOX	2301	1603	363	1556	737	1093
B4GALT3	514	562	1114	749	786	579
ADAMTS4	11926	10788	22271	5413	15101	6004
NDUFS2	1297	1544	2453	1690	2746	3287
FCER1G	2389	1897	2106	1057	878	1111
APOA2	2155	1615	5613	2006	2547	1227
TOMM40L	5705	14126	13785	7686	6524	5545
NR1I3	2238	2780	1291	1938	2084	4183
PCP4L1	145	99	81	129	78	93
MPZ	1106	1555	3303	2931	650	1618
SDHC	2499	7014	3879	1972	3685	1224
CFAP126	1211	959	1598	1779	996	988
FCGR2A	3829	2935	3858	5975	7233	4967
HSPA6	1433	3426	3569	2161	2056	1876
FCGR3A	6152	6074	5549	10590	4900	3794
FCGR3B	2160	654	2430	2915	1618	3848
FCGR2B	1478	1419	1875	892	1207	2359
FCRLA	3945	3680	2614	2220	1338	1537
FCRLB	1133	1368	994	434	952	765
DUSP12	5281	1273	2246	3114	2024	1807
ATF6	309	484	225	110	410	118
OLFML2B	1297	3034	3790	863	1721	3584
NOS1AP	3557	2612	1899	4971	4283	3663
RP11-565P22.6	452	736	590	598	415	781
C1orf226	4426	5487	4195	2199	1953	4099
C1orf111	6153	5206	3043	4997	7303	2041
SH2D1B	2407	2417	2071	1725	928	1833
UHMK1	4857	4897	3084	1821	5900	5589
UAP1	3750	3367	3057	2324	3987	4256
DDR2	1554	1609	1820	1461	1050	2530
HSD17B7	1554	2053	1298	1679	1355	1368
CCDC190	391	318	173	165	475	288
RGS4	12603	10025	8187	7868	8564	6118
RGS5	16215	6873	14931	6983	14457	10622
NUF2	4523	4845	8784	8506	6990	3713
PBX1	12104	12647	3626	9116	6277	6373
LMX1A	1164	917	1447	782	584	1546
RXRG	7736	6811	4566	3379	7129	5471
LRRC52	1511	2148	1091	1042	1336	554
MGST3	148	155	130	102	75	89
ALDH9A1	201	296	75	323	148	117
TMCO1	234	99	92	179	87	120
UCK2	9614	8825	11015	4926	3200	2802
FAM78B	410	290	182	162	248	230
POGK	1004	424	1281	781	337	723
TADA1	10858	5906	5807	6410	3362	2726
ILDR2	11500	5329	12001	8863	6797	9859
MAEL	107	57	44	44	61	82
GPA33	107	99	45	67	41	62
DUSP27	3424	3521	1202	1874	3966	2639
POU2F1	4842	5705	4108	2514	8319	6419
CD247	720	782	1927	1738	460	1601
CREG1	5118	3686	10347	3781	5424	8570
RCSD1	6696	7094	7375	3966	3749	5151
MPZL1	433	687	357	873	817	714
ADCY10	518	457	433	269	469	321
MPC2	1652	1323	990	1501	1656	889
DCAF6	4761	6449	2198	2433	1623	3597
GPR161	1620	1803	1822	2506	2252	1174
TIPRL	2734	4778	5676	2778	1414	3118
SFT2D2	369	244	406	334	331	246
TBX19	8	13	18	22	16	15
XCL2	830	729	1534	1163	295	639
XCL1	1696	735	1932	424	1369	1307
DPT	5791	4993	5069	4413	1301	4942
ATP1B1	3483	6750	2645	2545	1498	2566
NME7	108	101	176	59	82	81
BLZF1	3113	1839	3016	2276	1083	2080
CCDC181	1353	2649	1901	3627	2077	1267
SLC19A2	1664	1623	2476	741	1530	1580
F5	96	71	84	161	76	162
SELP	5275	3660	3602	1765	2379	4049
C1orf112	2093	5648	8653	4116	6164	4485
SELL	629	635	160	1092	811	605
SELE	362	509	459	219	381	499
METTL18	6884	3759	10215	8950	8425	3485
SCYL3	1480	2682	2093	785	2251	1096
KIFAP3	624	1136	630	360	470	283
METTL11B	2573	2352	4510	3694	4517	1746
GORAB	3348	3330	5308	2219	2837	3348
PRRX1	4116	6514	3505	1992	3053	2599
MROH9	613	356	755	346	267	234
FMO3	1492	5630	3018	2905	2181	3705
FMO2	1066	1441	1534	1181	1083	1358
FMO1	2199	1947	4590	2265	2355	5572
FMO4	2934	2836	2163	3993	2333	1312
PRRC2C	23	76	21	23	25	31
RP3-454G6.2	4131	1773	3867	4040	1486	3189
MYOC	1203	1286	2480	1311	1158	2421
VAMP4	652	509	919	409	282	526
METTL13	317	139	231	164	189	185
DNM3	2638	1125	1607	1375	3438	1353
PIGC	450	151	363	257	448	285
C1orf105	4052	1212	2488	2818	1385	1332
SUCO	1113	974	1297	431	1430	997
FASLG	6489	3427	9357	5350	2692	3418
TNFSF18	4506	5516	2211	6935	4268	5476
TNFSF4	15088	8315	14796	9668	11770	10786
PRDX6	855	3659	1990	1191	2511	1327
SLC9C2	2143	3795	2722	1941	1352	1527
ANKRD45	165	317	303	105	99	208
RP11-360D2.1	312	149	430	125	217	354
KLHL20	1517	1224	863	2256	516	1912
CENPL	257	278	234	363	202	203
DARS2	10639	4962	10089	6465	9152	13731
ZBTB37	8533	4973	10745	3833	3300	2982
SERPINC1	832	553	348	289	358	555
RC3H1	6540	2372	5250	3316	2125	2908
RABGAP1L	1868	768	1710	599	452	492
GPR52	298	321	194	152	185	340
CACYBP	803	900	622	791	1066	1447
MRPS14	1864	1524	2739	1938	742	1007
TNN	3802	4757	7274	2275	2840	2954
KIAA0040	30	6	30	45	14	21
TNR	9379	4752	6211	2496	6887	3002
RFWD2	775	997	723	437	756	645
PAPPA2	6675	4771	5121	4646	4204	6238
ASTN1	1406	828	893	852	743	624
BRINP2	2811	2280	2516	1317	5055	5998
SEC16B	15	50	105	32	24	85
RASAL2	3864	2969	4093	1838	2984	2961
LINC00083	726	1082	799	219	1064	871
TEX35	179	94	212	186	130	85
RALGPS2	178	95	128	187	111	281
ANGPTL1	2924	5150	4041	3438	3131	2324
FAM20B	214	566	698	624	348	276
TOR3A	3872	3639	3603	1795	2227	1723
ABL2	10108	10689	15268	21079	7468	19241
SOAT1	291	521	608	643	419	538
AXDND1	851	1241	845	874	767	810
NPHS2	1141	933	831	942	1349	1480
TDRD5	1465	1328	650	712	436	679
FAM163A	2179	1526	1857	1807	2054	1895
TOR1AIP2	5825	10326	7818	4868	3176	4975
TOR1AIP1	1168	2156	921	948	1921	396
CEP350	28	52	73	95	83	40
QSOX1	1869	1964	1327	2552	1660	1344
LHX4	2739	1750	2360	1729	2608	2693
ACBD6	145	93	138	106	67	74
XPR1	2581	3438	6950	9576	4038	2443
KIAA1614	1000	765	828	384	501	591
STX6	881	1342	2472	603	735	1890
MR1	4146	2362	1612	988	1637	2933
IER5	9563	7426	18055	3991	5045	10024
CACNA1E	1542	2849	1093	983	1183	824
ZNF648	6740	15283	4258	11334	12485	6915
GLUL	1998	2555	3374	4483	1327	2376
TEDDM1	540	425	993	668	502	416
RGSL1	982	1685	2065	2856	1511	2149
RNASEL	1091	383	883	503	1589	1051
RGS16	3334	5175	5664	3009	2889	4769
RGS8	6182	4245	6345	5988	3378	3984
NPL	147	319	442	727	580	328
DHX9	5123	1984	1897	1459	2130	4320
SHCBP1L	2986	1194	2312	967	2925	764
LAMC1	276	499	220	258	143	76
LAMC2	3502	2492	4043	3412	2866	1288
NMNAT2	1297	611	875	870	428	746
SMG7	7562	7024	6147	5312	6504	2436
NCF2	327	955	587	149	412	567
ARPC5	1091	595	599	433	830	408
RGL1	1566	1762	4136	2102	2776	1543
APOBEC4	1813	1098	1026	866	2448	1653
COLGALT2	1093	1204	821	581	355	707
TSEN15	136	61	122	131	47	74
C1orf21	434	118	255	295	225	458
EDEM3	7315	8245	13404	14495	4059	9154
FAM129A	68	144	259	129	122	226
RNF2	7934	5953	4207	7377	1917	5620
TRMT1L	4707	4427	5032	7378	1932	4360
SWT1	5738	6494	5060	3842	6051	6436
IVNS1ABP	1122	1182	1705	1647	407	1218
HMCN1	5482	2039	3714	1654	4480	7557
PRG4	2292	3663	2475	2116	2559	2241
TPR	2891	1670	2197	1121	1555	1846
C1orf27	21	8	26	11	17	10
AL596220.1	1427	708	1006	1423	1496	875
OCLM	1706	3106	2085	1152	2127	3329
PDC	9634	14158	10850	5773	6581	11834
PTGS2	5071	2009	2632	1142	1866	2148
PLA2G4A	7166	3670	3239	4958	4999	2776
BRINP3	3954	4564	3356	4544	4901	2372
RGS18	453	224	174	223	168	201
RGS21	73	98	85	73	89	130
RGS1	3071	6046	3325	9778	6548	8060
RGS13	11781	3905	6369	5668	6149	6946
RGS2	1033	361	964	348	268	472
UCHL5	525	305	163	642	429	216
TROVE2	18	54	39	29	17	15
GLRX2	8818	4855	8411	4368	13238	5321
CDC73	3994	4037	10391	8142	4821	4909
B3GALT2	288	284	256	439	356	247
KCNT2	2675	1824	1161	1573	2763	1274
CFH	7051	6850	3885	3152	3489	6684
CFHR3	2545	849	5082	1286	2823	2864
RP4-608O15.3	707	302	358	385	216	622
CFHR1	292	906	1287	1054	998	1153
CFHR4	1284	847	198	413	558	743
CFHR2	6501	26037	7972	11528	9415	11452
CFHR5	27	18	46	11	21	23
F13B	3463	4466	3562	3363	6215	3204
ASPM	2112	7259	4326	3494	3012	3891
ZBTB41	8574	8264	1733	2242	4278	3673
CRB1	1741	1065	2089	2250	2956	754
DENND1B	34843	9352	18837	15441	8361	13146
C1orf53	2190	5472	2313	2123	2686	3954
LHX9	1327	860	1056	816	554	496
NEK7	2931	2648	2147	3565	2664	747
ATP6V1G3	209	128	338	299	325	219
PTPRC	6189	2065	800	4700	4435	2431
NR5A2	871	779	875	645	1193	594
ZNF281	1380	3193	2042	1285	2577	1791
KIF14	2853	2151	2457	1660	1446	1062
DDX59	1088	1021	949	835	1048	1137
CAMSAP2	868	657	493	734	1036	919
GPR25	1454	1934	805	1691	1257	784
C1orf106	3105	7500	9980	14247	3631	5006
KIF21B	2524	1520	2270	2038	2353	2522
CACNA1S	7289	8336	4851	3659	2782	8577
ASCL5	1007	1375	1123	612	661	1085
TMEM9	5184	5234	6717	3036	6748	6507
IGFN1	1101	1615	1749	344	704	1549
PKP1	163	229	108	154	131	82
TNNT2	65	47	78	49	38	50
LAD1	3436	4017	3095	3784	2136	1791
TNNI1	876	356	1135	2302	651	1143
PHLDA3	723	1508	1312	496	407	849
CSRP1	3776	2225	7260	4835	2413	5165
NAV1	1852	595	1255	634	1475	842
IPO9	367	545	708	392	485	322
SHISA4	466	487	272	455	474	428
LMOD1	222	968	286	482	295	315
TIMM17A	850	800	1403	676	957	390
RNPEP	1714	899	1656	3110	2107	3209
ELF3	6729	7360	4786	3558	1308	3398
GPR37L1	762	617	1149	410	777	831
ARL8A	1548	1535	2539	1262	2015	448
PTPN7	11025	4148	5854	5924	2253	5697
LGR6	2776	2946	1160	1840	1429	1892
UBE2T	827	733	1088	521	700	625
PPP1R12B	146	198	302	180	145	271
SYT2	93	148	197	47	49	123
KDM5B	1749	7513	1455	1727	5210	2372
RABIF	3353	2386	3302	3219	3614	2683
KLHL12	8198	7330	2778	1398	2333	1782
ADIPOR1	126	45	170	37	114	115
CYB5R1	6408	5317	11247	3891	5324	8455
TMEM183A	16630	16362	20418	8056	16551	23378
PPFIA4	2580	2482	2736	2149	1415	1963
MYOG	331	360	547	578	330	758
ADORA1	3239	1186	2736	3151	1231	945
MYBPH	1233	2471	3993	841	1493	2302
CHI3L1	3505	4797	2879	8161	2746	5235
CHIT1	2794	1907	1005	1395	1385	2542
BTG2	926	1090	2022	1578	1895	905
FMOD	3452	1731	2170	1177	2708	683
PRELP	1143	826	3011	2005	833	707
OPTC	2239	904	1607	847	928	1591
ATP2B4	4865	7453	7669	10597	6281	1459
LAX1	744	987	2226	1646	788	762
ZC3H11A	1561	853	2301	612	1059	391
ZBED6	1841	1819	1379	1432	704	875
SNRPE	2393	927	3278	1940	713	1983
SOX13	2313	3467	2462	3285	1925	1942
ETNK2	672	789	434	385	166	499
REN	3743	2106	3002	860	1590	938
KISS1	188	501	776	539	217	214
GOLT1A	1551	1208	939	1823	1012	443
PLEKHA6	2601	1404	2076	1256	2286	1967
PPP1R15B	969	1620	1746	1651	661	1677
PIK3C2B	1076	539	585	540	359	523
MDM4	527	3126	2014	1442	1608	1282
LRRN2	5195	1348	1817	4701	2401	2356
NFASC	6739	2136	7206	1661	3580	3257
CNTN2	1188	765	2219	1153	907	830
TMEM81	709	1415	1442	540	1106	887
RBBP5	1305	1378	869	853	740	868
DSTYK	861	484	491	926	554	769
TMCC2	316	352	1122	785	476	487
NUAK2	56	149	242	125	104	99
KLHDC8A	650	735	342	425	443	626
LEMD1	1395	1098	4989	1637	1375	3057
CDK18	164	217	304	118	103	343
MFSD4A	1962	3867	1311	1604	2092	2511
ELK4	1	4	1	3	1	9
SLC45A3	285	1008	2358	1398	493	330
NUCKS1	421	386	593	313	475	429
RAB29	12871	5197	4547	4245	6885	3892
SLC41A1	4103	4992	4194	5126	2829	4764
PM20D1	294	412	295	557	790	289
SLC26A9	1678	844	1112	507	965	512
RAB7B	4192	7457	5755	5433	7589	8943
CTSE	308	191	261	395	418	372
C1orf186	18069	15907	25812	7713	24299	16912
AVPR1B	1462	1396	900	1732	1120	426
FAM72A	13917	11575	10867	7796	17461	3327
SRGAP2	3217	2739	3520	2735	1699	2457
IKBKE	2362	3364	4221	2434	1912	1576
RASSF5	1853	3914	1585	2339	1380	1752
EIF2D	2304	497	3108	2983	3762	6745
DYRK3	2361	2006	1010	1603	763	1382
MAPKAPK2	2233	1462	1648	817	1107	1009
IL10	461	1006	534	334	633	1459
IL19	609	908	1526	417	695	674
IL20	2226	1460	3320	1752	3452	3708
IL24	2535	2509	5164	2781	4100	2268
FCMR	1441	1298	1394	3059	1386	1155
PIGR	1607	3598	2726	1385	2451	1757
FCAMR	7120	5056	8491	3288	5472	4620
C1orf116	62	102	63	86	58	79
PFKFB2	5418	7442	11572	4451	9290	10923
YOD1	2719	1704	2217	1094	1706	545
C4BPB	3177	3479	3648	2747	2154	2180
C4BPA	2168	5188	2128	1809	536	2029
CD55	3802	4473	1707	3089	2975	2451
CR2	1011	401	825	1376	512	606
CR1	1475	3985	6762	5155	2971	2795
CR1L	1356	514	1410	396	504	373
CD46	3884	4417	7346	1537	2336	3384
CD34	10798	5676	12998	7029	3849	8242
PLXNA2	6474	2463	2771	2836	3846	4514
CAMK1G	1175	1355	913	455	826	1144
LAMB3	3270	5047	2226	3024	3610	1050
G0S2	5060	4035	4840	2142	2151	4760
HSD11B1	1442	1429	710	1152	1063	1442
TRAF3IP3	152	234	170	126	153	177
C1orf74	3104	3415	1394	1766	1913	3047
IRF6	2949	3810	1691	1539	1740	3754
DIEXF	520	644	845	365	512	1210
SYT14	1240	1500	2582	1565	662	1183
AL022397.1	3176	2765	848	1454	925	2193
SERTAD4	2699	3430	1503	958	1281	1338
HHAT	8349	6277	7660	4935	5667	3832
KCNH1	2851	1018	5160	3510	4632	2273
RCOR3	158	108	187	126	121	215
TRAF5	1892	2898	1580	2285	1104	882
RD3	4806	4042	7163	2785	2165	5150
SLC30A1	105	235	117	147	123	238
NEK2	5	6	3	3	0	3
LPGAT1	1108	2124	2149	615	1993	1477
INTS7	1578	1940	2411	1063	2382	1467
DTL	6379	3896	2171	1745	1748	3967
PPP2R5A	146	226	99	76	89	218
TMEM206	1699	6409	3328	3051	2468	2849
NENF	2729	1756	4139	2087	2130	1903
ATF3	15694	5708	2879	10274	5555	9549
FAM71A	1077	2805	3424	1972	1426	1739
BATF3	8886	5253	7385	3762	4840	3865
NSL1	87	119	127	159	46	113
TATDN3	622	858	870	435	880	1039
SPATA45	122	199	130	104	117	246
FLVCR1	4726	6528	1777	4021	5171	2037
VASH2	4711	1486	3165	2816	3899	2557
ANGEL2	3067	1508	600	1830	624	2434
RPS6KC1	464	710	801	859	521	612
PROX1	1556	2623	2821	2865	1605	2302
SMYD2	4332	2689	3876	3610	1220	2512
PTPN14	856	939	1427	578	931	816
CENPF	100	22	86	125	158	87
KCNK2	8130	2025	6698	3199	5028	3316
KCTD3	1851	4774	4449	827	1155	2402
USH2A	4190	4677	6362	4302	8360	3973
ESRRG	1039	625	644	1506	917	740
GPATCH2	1303	871	1212	1050	1403	2219
SPATA17	1201	1873	731	495	298	1335
RRP15	6383	2011	2877	1289	2453	4079
TGFB2	1235	750	1103	1305	685	1411
LYPLAL1	579	2331	1966	1457	1660	1286
ZC3H11B	3048	3147	4194	2174	1311	1128
SLC30A10	352	290	470	258	99	102
EPRS	13377	9289	13169	8941	5939	5310
BPNT1	69	76	127	146	69	49
IARS2	9722	8252	6684	6194	4856	3765
RAB3GAP2	1613	717	1966	1623	1744	1300
MARK1	12542	4767	4148	14193	5276	8012
C1orf115	1341	3292	1016	414	997	1330
MARC2	3125	2285	1588	2382	1242	1412
MARC1	793	669	350	1092	183	560
HLX	1687	999	967	761	880	975
DUSP10	1289	4044	2122	1184	1345	1887
HHIPL2	736	321	901	351	455	558
TAF1A	111	101	110	29	73	62
MIA3	1920	1465	2260	2013	1129	3031
AIDA	2578	2889	3041	1138	1291	1980
BROX	4719	3133	3690	3984	3582	2007
FAM177B	753	1419	1271	658	1252	996
DISP1	947	741	443	221	797	559
TLR5	406	909	463	167	238	460
SUSD4	3510	5323	2637	4997	3046	3962
CCDC185	6758	7144	7126	4189	4979	5296
CAPN8	2107	2944	2879	1439	1324	1632
CAPN2	1714	3692	2143	2018	2237	4204
TP53BP2	1285	1273	2638	898	1484	799
FBXO28	203	478	807	820	998	378
DEGS1	5043	2718	6204	4248	7020	3459
NVL	1328	1582	1429	1428	5322	1199
CNIH4	592	2204	1299	2460	2834	2138
WDR26	4510	4302	4071	2452	2491	1679
CNIH3	3938	3975	4347	1763	2217	2964
DNAH14	3520	3594	3546	3098	2482	3657
LBR	1513	1358	1876	1936	992	1002
ENAH	948	1059	1515	419	1169	1075
SRP9	6867	3855	4096	2687	2766	1600
EPHX1	2780	2457	1535	3426	5244	1924
TMEM63A	4092	5178	3751	1408	1720	3048
LEFTY1	1154	2291	3598	2598	2235	2512
RP4-559A3.7	3206	482	1391	958	906	1080
PYCR2	6612	8845	15849	13034	11602	6842
LEFTY2	2566	5272	2441	1921	2914	2899
SDE2	6631	7558	9200	6146	4435	9802
H3F3A	433	618	1054	414	907	604
ACBD3	18830	21068	18297	14323	29753	6626
MIXL1	586	2580	4442	1738	1901	1053
LIN9	406	576	136	548	506	201
PARP1	3059	4022	4543	2774	1951	2113
STUM	1371	2462	1422	1460	1108	1544
ITPKB	55	113	39	50	95	65
PSEN2	2160	1626	2429	1281	3013	873
ADCK3	971	1942	901	1145	910	1229
CDC42BPA	293	269	291	287	192	244
ZNF678	2373	1340	2805	1252	1660	2573
SNAP47	8204	7017	7563	9287	2623	10306
JMJD4	5471	12452	8993	7528	7109	8385
PRSS38	588	551	513	288	298	171
WNT9A	488	390	531	430	190	546
WNT3A	4535	3723	2037	2521	2339	2542
ARF1	1024	680	1946	2436	1073	1679
C1orf35	380	439	513	702	355	417
MRPL55	2660	1719	1880	1114	1703	765
GUK1	535	656	666	534	494	504
GJC2	5760	14077	10218	5619	4479	5787
IBA57	2009	2160	4117	2784	3808	2194
C1orf145	2799	1720	4840	2673	3214	1708
OBSCN	2056	2997	2152	1666	1626	942
TRIM11	4484	3978	4818	3263	2873	3156
TRIM17	13052	3042	7955	3794	11939	4951
HIST3H3	5115	4540	1961	1804	1571	3139
HIST3H2A	6373	12257	8483	10812	8624	8146
HIST3H2BB	1487	880	2184	1229	569	2023
RNF187	263	54	201	161	95	130
RHOU	5877	3742	8053	1970	4953	2742
TMEM78	493	477	1341	762	582	358
RAB4A	155	71	114	72	33	111
SPHAR	80	110	88	29	42	158
CCSAP	458	181	327	390	290	141
ACTA1	567	562	411	665	748	603
NUP133	560	392	803	477	376	850
ABCB10	3131	5646	2520	4221	1944	2776
TAF5L	2209	689	1353	865	2605	2241
URB2	3886	1976	2533	2088	1468	1823
GALNT2	8634	4306	4649	3760	4159	6750
PGBD5	3583	1280	1346	1797	1563	1700
COG2	978	2076	3755	3857	2076	5103
AGT	5215	2150	9274	6459	9181	14366
CAPN9	4772	4025	3578	2904	3010	4412
C1orf198	1814	1707	957	1667	1031	4615
TTC13	1655	1905	1085	1471	509	623
ARV1	670	2840	2273	547	849	1360
FAM89A	6102	7662	3112	2454	3944	4243
TRIM67	1704	1439	1348	454	1322	472
C1orf131	286	1688	1406	355	866	582
GNPAT	1415	1540	2297	1780	1369	1297
EXOC8	1843	1838	3566	2570	2505	1691
SPRTN	101	68	70	65	136	165
EGLN1	222	188	279	209	224	139
TSNAX-DISC1	1355	1044	1225	635	552	461
TSNAX	3886	9370	4000	3761	1722	3277
DISC1	8738	7140	6861	2313	3751	4799
SIPA1L2	1	1	2	2	0	0
MAP10	4046	3765	3575	3107	3012	4616
NTPCR	1806	1178	1199	1923	1591	2009
PCNX2	3813	4494	6563	3213	3892	6524
RP5-862P8.2	2480	3224	1731	3064	5448	2826
KCNK1	887	416	910	806	1124	663
SLC35F3	3897	6288	5418	3365	3061	5168
COA6	773	1607	2064	977	2878	2399
TARBP1	335	355	444	292	128	341
IRF2BP2	1181	692	506	843	323	626
AL360294.1	1990	2078	2047	1321	1485	2742
TOMM20	792	2125	1870	1297	1063	1221
RBM34	1588	1042	1222	813	1803	543
ARID4B	8350	3771	7617	5193	4794	4190
GGPS1	1570	951	1034	1099	1176	503
TBCE	2567	1506	2075	2991	2391	2016
B3GALNT2	7859	4677	7872	2463	5629	5132
GNG4	1147	1714	1207	2257	1316	3053
LYST	4288	4290	4256	1882	3286	5540
NID1	1585	1620	1378	1075	1526	680
GPR137B	9769	7381	7119	4756	2788	6342
ERO1B	7704	4949	6583	3927	2020	8917
EDARADD	1594	2461	1691	2037	699	2388
LGALS8	2465	2616	2258	788	2373	1992
HEATR1	3879	6431	3794	3546	6355	3733
ACTN2	7924	7770	8278	3828	5712	5437
MTR	4229	2338	5777	2979	2339	3239
MT1HL1	6353	10377	3712	9188	10026	5782
RYR2	2829	2743	1375	2542	1531	2336
ZP4	3612	5214	6683	4415	4686	6380
MTRNR2L11	24	61	39	27	50	31
CHRM3	17826	6229	6605	10648	8146	12298
FMN2	1942	1021	1798	886	842	1921
GREM2	308	365	351	305	295	269
RGS7	568	670	916	607	414	468
FH	2826	3457	2977	1014	3161	2807
KMO	2749	4151	2085	644	1877	3636
OPN3	488	609	588	564	261	254
CHML	71	79	146	162	99	112
WDR64	5806	3571	12085	7813	7375	5005
EXO1	656	602	644	438	502	446
BECN2	309	714	682	178	586	448
MAP1LC3C	87	238	62	71	126	86
PLD5	647	447	705	1135	419	1328
CEP170	1212	917	1392	1058	964	967
SDCCAG8	1411	1113	988	317	255	579
AKT3	2424	3364	1333	2945	2071	1063
ZBTB18	3353	3923	3123	3509	12335	4105
C1orf100	1649	1671	2493	2477	2037	1978
ADSS	11251	8286	8561	4575	5100	7883
C1orf101	2051	1427	3032	1772	2971	1548
DESI2	4676	5502	2657	1135	2890	4144
COX20	6781	6759	2466	2393	2754	6825
HNRNPU	5348	5171	5621	9400	8877	4696
EFCAB2	575	530	543	437	237	255
KIF26B	1746	2684	1086	430	1454	1090
SMYD3	9001	5945	6777	3700	5899	9438
TFB2M	355	535	482	366	307	472
CNST	13937	15572	17615	4590	14279	2893
SCCPDH	994	934	564	611	476	438
AHCTF1	3951	2132	1445	2999	1187	709
ZNF695	2696	2329	2019	1663	2252	1254
ZNF670-ZNF695	4682	5141	2721	2123	3241	3318
ZNF670	12488	6781	3578	12987	2819	5656
ZNF669	5320	2223	4226	3190	3806	4044
ZNF124	1824	1012	1247	1088	707	587
ZNF496	2710	1928	2528	1627	2258	2462
NLRP3	241	160	214	36	101	89
OR2B11	974	1376	1096	692	1015	837
GCSAML	2706	1408	1013	3028	2004	714
OR2C3	840	1156	1004	211	718	236
OR2G2	11453	6186	12065	5917	6728	10358
OR2G3	7402	3594	8095	4251	7093	5368
OR13G1	12181	14226	14461	12558	8405	7246
OR6F1	1290	6343	2689	3666	2651	3004
OR14A2	8138	9966	6914	10074	3092	4810
OR14K1	3243	3565	2582	1924	3247	1910
OR1C1	6009	11690	8817	15956	6551	21266
OR14A16	123	166	189	281	92	129
OR11L1	1824	783	2321	909	3511	2325
TRIM58	208	160	206	258	131	262
OR2W3	2277	1237	1845	1250	1842	1666
OR2T8	2006	2027	3185	2306	1600	2230
OR2AJ1	2159	1509	284	1026	1274	742
OR2AK2	418	422	342	273	282	237
OR2L5	2167	5137	2815	2724	3564	1113
OR2L2	1036	731	1859	2159	1040	2049
OR2L3	247	168	201	113	246	309
OR2L13	2057	2722	678	3942	2156	2711
OR2M5	62	180	114	51	106	142
OR2M2	1110	2104	758	1645	976	867
OR2M3	4252	3076	2011	643	1545	1226
OR2M4	2326	2052	4348	1831	1292	2162
OR2T33	1919	1082	1706	878	1066	1046
OR2T12	399	798	595	318	163	314
